Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,289.4735,0,289.4737,,,,292.5821,293.0787,292.0792,292.5819,290.4733,0,292.079,293.0788,293.5757,293.5758,295.9816,1864.5,295.9819,4,296.9813,0,20,20,19,1,1.6,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,296.9817,0,296.982,,,,299.4938,299.9932,298.9878,299.4936,297.9818,142,298.9876,299.9932,300.4901,300.4903,302.3265,1079.6,302.3268,4,303.3263,0,21,21,21,1,1,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,303.3267,0,303.327,,,,306.4355,306.932,305.9328,306.4354,304.3266,165,305.9324,306.932,307.4289,307.429,309.1382,1352.1,309.1385,2,310.1378,0,22,22,24,1,1.6,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,310.1383,0,310.1387,,,,312.4472,312.9436,311.9442,312.447,311.1383,8,311.9441,312.9436,313.4406,313.4406,315.1558,673.1,315.1561,2,316.1554,0,23,23,25,1,0.8,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,316.1559,0,316.1561,,,,319.2648,319.7613,318.7617,319.2646,317.1558,349,318.7615,319.7613,320.2582,320.2582,321.6824,1022.3,321.6827,1,322.6822,0,24,24,29,1,1.6,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,322.6828,0,322.6829,,,,325.1916,325.688,324.6885,325.1914,323.6828,129,324.6883,325.688,326.185,326.185,327.4394,752.2,327.4398,2,328.4393,0,25,25,11,1,1,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,328.4396,0,328.4399,,,,330.7491,331.2451,330.2456,330.7489,329.4398,301,330.2454,331.2451,331.742,331.7421,333.2632,751.1,333.2635,2,334.263,0,26,26,10,1,0.8,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,334.2633,0,334.2633,,,,337.1723,337.6688,336.6692,337.1721,335.2633,331,336.669,337.6688,338.1656,338.1657,339.7353,1252.8,339.7355,2,340.7352,0,27,27,18,1,1.4,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,340.7355,0,340.7356,,,,343.2443,343.741,342.7414,343.2441,341.7356,72,342.7412,343.741,344.2378,344.2378,345.6924,1255.4,345.6926,4,346.6922,0,28,28,1,1,1,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,346.6928,0,346.693,,,,349.6016,350.0981,349.0985,349.6014,347.6926,263,349.0983,350.0981,350.5949,350.5949,352.0555,993.8,352.056,2,353.0552,0,29,29,8,1,1.4,0.7,Time
